N,ID_PR,ASL,RAGIONE SOCIALE,PARTITA IVA,NOME PRESIDIO,DECRETI,TIPO DI PROVVEDIMENTO,INDIRIZZO,COMUNE,CAP,Latitude,Longitude
171,1763,101 RM/A,CASA DI CURA VILLA VALERIA S.R.L.,01032551002,CASA DI CURA VILLA VALERIA,U00408/14,DECRETO DI ACCREDITAMENTO,PIAZZA CARNARO 18,ROMA,00141,41.940495,12.5326728
134,1273,101 RM/A,CASA SAN LUCIO S.R.L.,01374141008,STUDIO NEUROLOGICO LATERANO CASA SAN LUCIO S.R.L.,U00327/12,DECRETO DI ACCREDITAMENTO,"Via Domenico Fontana, 12",ROMA,00185,41.88774189999999,12.5066754
514,889,101 RM/A,CENTRO CASA GIOCOSA SRL,01696881000,CENTRO CASA GIOCOSA,"U00160/13
U00466/13",DECRETO DI ACCREDITAMENTO,"Via Picco dei Tre Signori,14",ROMA,00141,41.9301586,12.5368413
819,972,101 RM/A,CENTRO DI AUDIOFONOLOGOPEDIA S. R. L.,01136651005,CENTRO DI AUDIOFONOLOGOPEDIA,U00528/13,DECRETO DI ACCREDITAMENTO,VIA DI POGGIO MOIANO 6,ROMA,00199,41.9337572,12.5115357
501,582,101 RM/A,CENTRO ROMANO FISIOTERAPIA,01242731006,CENTRO DI RADIODIAGNOSTICA E FISIOTERAPIA SRL,"U00252/12
U00018/13
U00337/14",DECRETO DI ACCREDITAMENTO,VIA SAN MARTINO DELLA BATTAGLIA 25,ROMA,00185,41.9057652,12.504961
641,1114,101 RM/A,CENTRO FISIOTERAPICO ZURIGO DI MODAFFERI PIETRO & C. S.A.S.,04121531000,CENTRO FISIOTERAPICO ZURIGO DI MODAFFERI PIETRO & C. S.A.S.,U00350/13,DECRETO DI ACCREDITAMENTO,viale gorizia 25/b,ROMA,00198,41.9194812,12.5122013
797,1932,101 RM/A,Madonna delle Grazie Healthcare srl,09164581002,Madonna delle Grazie Healthcare srl,U00170/12,DECRETO DI ACCREDITAMENTO,"L.go DI VILLA BIANCA, 11",ROMA,00199,41.92599000000001,12.51281
765,1335,101 RM/A,CENTRO RICERCHE CLINICHE ORTASA SRL,01013251002,CENTRO RICERCHE CLINICHE ORTASA SRL,U00113/13,DECRETO DI ACCREDITAMENTO,"Via San Leo, 30/32",ROMA,00138,41.98029810000001,12.5115613
15,1318,101 RM/A,CENTROLAB S.R.L.,00974321002,CENTROLAB S.R.L.,U00390/12,DECRETO DI ACCREDITAMENTO,Via dei Montecatini 6a-6b,ROMA,00186,41.899336,12.480264
995,43,101 RM/A,CID LABORATORI S.R.L.,00949341002,CID LABORATORI S.R.L.,U00451/12,DECRETO DI ACCREDITAMENTO,Via di Villa Patrizi 22/a,ROMA,00161,41.91051,12.50831
1051,5396,101 RM/A,CIR VILLA GIULIA SRL,08812711003,RSA CITTÀ GIARDINO,"U00342/13
U00276/14",DECRETO DI REVOCA,Via Cimone 110,ROMA,00141,41.93172999999999,12.53776
85,313,101 RM/A,CMPH SRL,06552541002,PRESIDIO 1/A-B-C,U00414/13,DECRETO DI ACCREDITAMENTO,"Via Verona, 18",ROMA,00161,41.91187,12.5161
228,554,101 RM/A,CMPH SRL,06552541002,PRESIDIO 1/D,U00413/13,DECRETO DI ACCREDITAMENTO,Via Livorno 25,ROMA,00161,41.9151012,12.5230482
242,746,101 RM/A,COMPAGNIE GENERALE DES HOPITAUX SRL,01584090680,COMPAGNIE GENERALE DES HOPITAUX SRL,U00340/12,DECRETO DI ACCREDITAMENTO,Via Nomentana 119,ROMA,00161,41.9116204,12.5042264
668,1520,101 RM/A,COPREZ S.R.L.,03766301000,COPREZ SRL,"U00378/12
U00351/13",DECRETO DI ACCREDITAMENTO,"Via Franco Sacchetti, 18/M",ROMA,00137,41.9500518,12.5463516
723,406,101 RM/A,DIAGNOSTICA BIOMED SRL,01496141001,LABORATORIO GENERALE DI BASE,U00184/12,DECRETO DI ACCREDITAMENTO,"VIA SACCO PASTORE,22-24",ROMA,00141,41.9318446,12.5270023
209,204,101 RM/A,DIAGNOSTICA SRL,01309401006,DIAGNOSTICA SRL,U00238/12,DECRETO DI ACCREDITAMENTO,VIA GARGANO 5,ROMA,00141,41.93565,12.53432
966,402,101 RM/A,DOTT. MAURIZIO NARGI,06516840581,DOTT. MAURIZIO NARGI,U00358/12,DECRETO DI ACCREDITAMENTO,"VIA UGO OJETTI, 16",ROMA,00137,41.9437337,12.5483098
